,,,is_TRIM,OTP_BIT_WIDTH,is_TEMP_COMP,@T27C,Temp>150C,140C≤Temp<150C,130C≤Temp<140C,120C≤Temp<130C,110C≤Temp<120C,100C≤Temp<110C,90C≤Temp<100C,80C≤Temp<90C,70C≤Temp<80C,60C≤Temp<70C,50C≤Temp<60C,40C≤Temp<50C,30C≤Temp<40C,20C≤Temp<30C,10C≤Temp<20C,0C≤Temp<10C,-10C≤Temp<0C,-20C≤Temp<-10C,-30C≤Temp<-20C,Temp<-30C,
CATEGORY,Variable Name,OTP FLAG,,,,VALUE,TEMP150,TEMP140,TEMP130,TEMP120,TEMP110,TEMP100,TEMP90,TEMP80,TEMP70,TEMP60,TEMP50,TEMP40,TEMP30,TEMP20,TEMP10,TEMP0,TEMPM10,TEMPM20,TEMPM30,TEMPM40,
GR,GR_TXLO_78G_LDO08_VOSEL,No,No,No,YES,1,6,6,6,5,5,4,4,3,3,2,1,1,1,1,1,1,0,0,0,0,
GR,GR_RXLO_78G_LDO08_VOSEL,No,No,No,YES,1,6,6,6,5,5,4,4,3,3,2,1,1,1,1,1,1,0,0,0,0,
GL_OTP,GL_OTP_ADC01_LDO08_VOSEL,GL_OTP_FLAG_CP_ADC_LDO08,Yes,3,No,4,No,,,,,,,,,,,,,,,,,,,,
GL_OTP,GL_OTP_ADC23_LDO08_VOSEL,GL_OTP_FLAG_CP_ADC_LDO08,Yes,3,No,4,No,,,,,,,,,,,,,,,,,,,,
GL_OTP,GL_OTP_TXLO_13GBUF_BIAS,GL_OTP_FLAG_CP_TXLO_BIAS,Yes,4,Yes,10,12,12,12,12,12,12,12,12,12,12,12,11,10,9,8,7,6,4,2,0,
GL_OTP,GL_OTP_TXLO_INV_BIAS,GL_OTP_FLAG_CP_TXLO_BIAS,Yes,4,Yes,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
GL_OTP,GL_OTP_TXLO_TPL_BIAS,GL_OTP_FLAG_CP_TXLO_BIAS,Yes,4,Yes,10,12,12,12,12,12,12,12,12,12,12,12,11,10,9,8,7,6,4,2,0,
MACRO,VGA_6dB ,No,No,No,No,0x01,,,,,,,,,,,,,,,,,,,,,
MACRO,VGA_9dB ,No,No,No,No,0x02,,,,,,,,,,,,,,,,,,,,,
MACRO,VGA_12dB,No,No,No,No,0x03,,,,,,,,,,,,,,,,,,,,,
MACRO,VGA_15dB,No,No,No,No,0x04,,,,,,,,,,,,,,,,,,,,,
MACRO,VGA_18dB,No,No,No,No,0x05,,,,,,,,,,,,,,,,,,,,,
MACRO,VGA_21dB,No,No,No,No,0x06,,,,,,,,,,,,,,,,,,,,,
